CLIENT_ID,PROCEDURE_TYPE,REFFERED_BY
1,Miroblading/Shading,Daughter
2,microblading,Gemma
3,"Eyebrows- Microblading",Instagram
4,"MICRO Blade Karla Ballir",
5,microblading,Instagram
6,"Yvetle Contreras",
7,microblading,facebook
8,,
9,2:19.77,"eyelreru yo Htoo"
10,9104199,8/24/89
11,:714-742-7161,inn/29/53
12,"social media",
13,"microblading TATOO","A friend"
14,Microbladding,"Andren Rose"
15,meroblade,friend
16,"СЛ Microblading / shading IG",
17,microblading,facebook
18,entel12178,eyebrow
19,Brows,Carleen
20,_q.160.80,microblading
21,11.3.88,Microblading
22,Touch-up,"vanessa hibson"
23,06-160-1963,OMBRE
24,microblading,Instagram
25,,
26,Eyebrow,"Monica twarey"
27,microblade,"Danielle Box"
28,Auckoldading,
29,"Bernadette Sanicola",
30,08/27/1458,eyebrows
31,"EXERCON TATTOO","VIOLETE FERGUSON"
32,no/21/5),Daughter
33,"micro Wading",
34,1-4-14,"Tatoo microblading"
35,Combo,Ashley
36,Microblading,Temecula
37,"Microblading Ituto",sistur
38,microblading,"my sister-in-law"
39,,
40,microblading,"Instagram friend"
41,microblading,facebook
42,_4-9-05,Microblading
43,"Internet / Instagram",Brows
44,5-18-91,microbiading
45,eyebrows,instagram
46,microbladiz,"Liz C colleague"
47,Facebook,
48,_3-25-78,Microblading
49,"Microblade combo Margaritalash",
50,microblade,Facebook
51,microblading,Google
52,Microblading,Facebook
53,Kristen,
54,microblading,
55,margarita,
56,microblading,"friend - Ana"
57,eyebrows,"arian Kemp"
58,"Facebook internet recommendatips",Microblading
59,"562) 49-5387","04/27/ 76"
60,combo,"Kelscy Biggers"
61,"microbmw / Shading",Facebook
62,,
63,"16/8/78 8","f facebook."
64,"microblading 06/19208/19 instagram",
65,"brow tatto","Chance Burgess"
66,"Kayla Labeda",
67,eyebrow,Instagram
68,"a 12177","Rowder Shade"
69,"combo brows","Tammie B /instagram"
70,Microblading,"Lean Dreany"
71,"عاع لعام ",WikiLine
72,,
73,Microblading,online
74,eyebrows,
75,4/23/86,"Mice blading"
76,microblading,"friend - Alma Cox"
77,enebrows.,
78,"11 |081980","brow Microblading"
79,blading,neighbon
80,Microblading,facebook
81,Microwbladsing,ancine
82,"powder brows","co workers ."
83,,
84,06/09/89,"micro blading"
85,Microblade,"Bred Friend- Patty"
86,"M My sister",
87,Microblading,instagram
88,eyebrows,"saw Trailer"
89,Microbladina,Impressive
90,Microblading,"my sister Monica Gonzalez"
91,Microblading,"Instagram, Facebook"
92,Microblach,blading
93,_711712070,"Technician "
94,Microblading,Facebook
95,"combo brow",Instagram
96,Microblading,friends
97,"Date of",eyebrow
98,microblading,"christine Saques"
99,Instagram,
100,,
101,Eyebrows,"Veronica Cordova"
102,Melissa,
103,EYEBROWS,
104,microblading,Instagram
105,Microblading,"Aorma Skinnes"
106,"MICRO BLADING EVEBROWS","STARRE ROSS"
107,Microblading,Intsagram
108,"Combo brow",Instagram
109,949.303,Microblading
110,"Patty - my neighbor",
111,microblading,Thitagaam
112,,
113,"brow microblading",
114,11-25-67,"Brows Microbladony"
115,"Telephone: (419) 3ib: 6365",3/9/20
116,Microblading,Facebook
117,Microblading,Daughter
118,,
119,"eyebrows Tombo",Facebook
120,Microblading,
121,"combo brow",reduffs
122,Brows,Facebook
123,miuroblading,friend
124,"pate of birin 04/19/1995",Eyebrow
125,"е eyebrows","social media"
126,TAYLOR,
127,"Jamie Visuwan referral",
128,573-2110-23609,"09 locelai"
129,"Scalp micoblade / pigmentation",Taylor
130,microblading,"Taylor/ Dana Laduff"
131,"nano stroke brows","Facebook |IG"
132,Brows,
133,midablading,Cynthia
134,microblade,"my daughter April"
135,oslitla,Yahoo
136,"(714) 2726983","07-14-90 I"
137,microblading,facebook
138,"tattoo pen",amanda
139,microblading,
140,eyebrows,"Margarita (eyelashes)"
141,correction,"word of mouth"
142,MICROBLADING,LEDUPP
143,Microblading,
144,Microbladding,Facebook
145,,
146,Microblading,Instagram
147,Microblading,
148,,
149,Microblading,Co-worker
150,,
151,Microblading,"Potty Cantarini"
152,5-7-52,Cecelia
153,murobladires,yuette
154,_9-6-57,brows
155,,
156,,
157,"Ey brows",Violette
